Device,Wattage (W),Quantity,Hours/Day,Days/Month,Energy (kWh/Month)
Printer,1918,14,11.3,29,8828.17
Water Cooler,564,12,9.3,26,1632.94
WiFi Router,1475,16,10.6,14,3490.95
Lab Equipment,894,5,9.3,12,496.94
Heater,2000,14,4.7,23,3035.28
Printer,1902,4,7.9,12,724.75
AC (1.5 Ton),298,14,9,13,489.54
AC (1.5 Ton),1625,8,8.1,29,3047.06
Lab Equipment,1865,17,7,20,4449.29
LED Light,938,12,3.9,14,621.69
Printer,1602,4,2.1,28,379.91
Ceiling Fan,505,12,5.2,15,475.14
Smartboard,569,19,3.9,30,1261.26
Projector,60,12,2.1,27,41.7
Lab Equipment,223,16,8.1,23,664.58
Lab Equipment,1982,20,2.1,29,2444.29
Ceiling Fan,462,4,5.4,30,299.69
WiFi Router,1119,2,6.1,22,301.58
WiFi Router,1894,16,3.7,12,1346.01
WiFi Router,1036,14,5.1,29,2152.31
Smartboard,842,12,8.5,17,1455.5
Tube Light,1403,3,5.9,26,648.74
Fridge,137,5,11.8,14,112.72
Ceiling Fan,1970,8,2.3,12,429.85
Printer,1022,12,2.4,12,356.06
WiFi Router,1828,1,2.1,15,58.74
Water Cooler,892,14,10.3,21,2710.56
Printer,1603,3,4.7,14,317.48
Smartboard,497,7,8.1,23,645.48
LED Light,1112,3,2.6,14,122.42
Heater,744,13,12,21,2429.78
Water Cooler,124,2,2.1,17,9.04
Water Cooler,79,1,5.2,11,4.52
Tube Light,947,13,5.6,19,1315.37
AC (1.5 Ton),1404,6,2.3,22,420.51
LED Light,1840,15,4,30,3290.33
Printer,386,12,6.2,18,519.16
Ceiling Fan,1520,19,7.2,29,6047.04
Ceiling Fan,851,7,4.8,11,315.42
AC (1.5 Ton),407,6,10.2,15,374.77
Printer,199,4,8.2,22,142.77
Water Cooler,1823,8,8.7,23,2929.47
Computer,1333,9,7.5,27,2430.54
LED Light,225,4,10.2,12,110.47
Printer,704,1,6.1,11,47.25
Smartboard,801,14,5.4,29,1765.82
AC (1.5 Ton),1118,2,6.2,28,389.57
Computer,1930,20,3.5,21,2862.29
Fridge,1228,15,2.6,23,1093.37
Printer,62,18,2.3,25,65.5
WiFi Router,331,13,11.5,23,1138.31
Lab Equipment,1564,15,2.4,28,1580.12
Lab Equipment,640,17,3.5,22,831.84
Smartboard,1253,7,2.7,23,546.34
Fridge,1094,1,5.1,17,95.42
Computer,1531,10,12,21,3850.01
Water Cooler,936,7,4.2,11,301.61
Ceiling Fan,479,16,12,20,1834.77
LED Light,792,18,1.6,24,536.18
Ceiling Fan,1732,2,6.9,11,264.68
Lab Equipment,1863,15,2.4,29,1944.33
Projector,1323,10,1.3,23,398.75
Ceiling Fan,542,3,7.5,23,281.64
Smartboard,1502,16,11.2,30,8108.26
Water Cooler,248,11,5.8,18,286.33
AC (1.5 Ton),738,9,11.6,12,927.95
LED Light,1126,4,1.3,27,162.5
Computer,705,11,6.2,23,1104.53
Computer,1252,19,2.6,26,1614.37
LED Light,626,6,6.3,23,542.15
Ceiling Fan,1201,1,7.3,15,132.27
AC (1.5 Ton),857,13,9.4,14,1471.27
Lab Equipment,1235,8,11.9,14,1644.69
Projector,1256,20,1.1,11,294.39
Printer,161,14,8.9,10,200.34
Smartboard,1783,18,7.8,13,3253.97
Ceiling Fan,492,11,10.3,15,837.62
Computer,1033,16,11.8,15,2930.04
Heater,423,18,3,27,618.48
Tube Light,12,6,11.4,21,17.28
Lab Equipment,284,11,6.5,27,547.56
Water Cooler,174,13,8.8,11,217.85
Water Cooler,1098,1,7.6,30,251.09
LED Light,994,19,6.5,14,1714.5
WiFi Router,1202,11,5.5,10,730.86
Ceiling Fan,687,15,7.5,26,2015.09
Projector,1183,20,9.8,23,5350.43
Fridge,1189,6,1.3,22,198.73
Printer,1837,3,5.4,16,474.93
Computer,159,14,9.6,11,235.34
WiFi Router,693,10,2,26,357.4
Lab Equipment,1890,11,11.8,28,6881.37
Heater,454,14,5.6,26,933.2
Water Cooler,1589,10,10.3,14,2293.4
Water Cooler,1103,16,5.1,19,1721.3
Fridge,1383,2,4.8,26,342.38
Smartboard,1747,12,6.3,29,3808.2
LED Light,477,2,2.2,29,61.36
Computer,1794,16,5.8,15,2487.69
Fridge,566,18,7.3,29,2160.28
Water Cooler,1454,11,2.5,14,566.65
Heater,974,1,8.2,30,239.29
Projector,377,20,8.5,17,1095.62
Lab Equipment,1393,6,8.2,13,895.21
Tube Light,1301,15,2.9,23,1313.36
LED Light,1527,14,3.3,14,986.26
Tube Light,1730,8,2.4,20,650.49
Computer,1174,2,11.7,30,825.66
Tube Light,1731,17,4,12,1400.92
Fridge,568,9,1.1,14,79.82
Fridge,1947,11,9.1,26,5081.25
Smartboard,1500,13,7.6,28,4135.04
Water Cooler,140,4,7.5,17,71.33
Fridge,1885,18,2.4,18,1462.42
Printer,181,16,2.7,14,109.73
WiFi Router,1723,15,8.3,25,5341.21
Printer,232,18,4,23,380.12
Ceiling Fan,1293,16,4.9,23,2347.17
Water Cooler,473,12,4.6,28,738.26
Fridge,623,18,10.6,16,1894.71
Computer,1859,17,5.3,16,2685.24
LED Light,1845,1,1.4,23,60.49
WiFi Router,981,8,9.9,24,1869.64
Water Cooler,774,16,5.9,15,1103.76
Heater,1181,2,7.7,28,510.61
Printer,1157,3,6,13,268.98
Tube Light,903,13,4.7,30,1645.51
Heater,745,20,7.4,12,1319.89
Smartboard,467,17,4.2,10,330
WiFi Router,1445,17,6.6,15,2436.16
Printer,1345,13,10.8,26,4905.64
Lab Equipment,932,4,2.9,25,271.04
Projector,1754,12,12,17,4292.63
Printer,474,14,10.3,24,1633.7
Lab Equipment,592,18,5.9,16,998.88
Heater,1211,11,9.3,19,2346.98
AC (1.5 Ton),512,2,1.6,28,44.65
LED Light,932,14,10.3,18,2417.27
Ceiling Fan,1473,17,7.5,15,2828.98
Tube Light,875,6,2.9,29,444.88
Computer,156,5,9.1,11,77.7
Heater,1378,10,9.7,12,1599.75
Projector,80,4,9.1,12,34.81
Heater,204,7,9.6,15,206.07
Fridge,1514,15,2.6,16,944.26
Projector,1075,16,7.3,14,1755.52
LED Light,506,17,7.4,15,959.93
Water Cooler,523,6,2.4,18,136.5
Printer,1728,10,2.5,18,791.23
LED Light,877,3,8.8,15,346.2
WiFi Router,333,9,2.6,30,229.31
Fridge,1779,15,5.2,18,2491.86
AC (1.5 Ton),75,3,1.1,12,3.09
Fridge,781,14,2.3,21,521.2
Computer,1063,15,3.5,27,1487.83
Lab Equipment,1096,12,6.3,15,1248.04
Smartboard,843,17,9.8,25,3511.54
Smartboard,831,4,3.8,18,226.29
Projector,901,18,10.9,28,4933.8
Ceiling Fan,335,20,3.9,25,652
Fridge,1542,17,10.7,21,5883.85
Lab Equipment,1393,12,2,13,434.15
Printer,979,18,7,28,3450.24
WiFi Router,1476,2,3.2,12,114.64
Computer,1008,1,4.6,13,60.34
Lab Equipment,1819,4,8,25,1450.01
WiFi Router,1327,15,9.3,10,1841.49
Lab Equipment,1827,12,4.4,27,2601
Heater,146,8,1.4,25,39.98
Water Cooler,1937,9,7.9,20,2749.02
Printer,1349,1,6.5,23,202.85
Heater,945,1,8,17,128.96
AC (1.5 Ton),149,10,3.1,21,96.95
WiFi Router,823,18,1.1,23,375.13
Water Cooler,621,17,5.2,14,769.09
Heater,1738,8,11.7,14,2270.09
WiFi Router,1034,10,3.6,25,929.3
Printer,1751,18,6.5,10,2033.23
Printer,671,14,5.2,20,977.09
AC (1.5 Ton),1446,17,1.8,23,1027.66
Heater,1591,17,7.1,25,4781.89
Lab Equipment,1638,8,9.6,30,3791.89
AC (1.5 Ton),1945,12,8.9,30,6200.02
Smartboard,1822,1,11.6,26,550.46
Printer,1112,6,9.2,21,1286.31
Tube Light,834,17,2.9,11,459.91
Projector,1959,18,10,17,5980.1
Ceiling Fan,928,9,10.6,27,2389.14
AC (1.5 Ton),1753,3,3.4,23,411.13
WiFi Router,1401,12,7,21,2477.4
Heater,630,12,1.9,24,337.63
Computer,1517,5,11.9,16,1440.68
Water Cooler,1977,19,2.2,22,1834.29
AC (1.5 Ton),462,20,6.4,20,1180.17
LED Light,748,10,4.9,30,1100.81
Printer,1472,14,4.2,22,1925.93
Ceiling Fan,928,1,8.2,14,106.48
LED Light,417,8,4,24,320.77
Water Cooler,374,6,7,17,265.25
Ceiling Fan,1883,9,3.2,22,1178.99
WiFi Router,206,17,3.9,15,203.15
Printer,1213,14,8.8,23,3430.72
Ceiling Fan,260,7,5.3,20,193.73
Heater,160,11,1.3,17,40.2
Tube Light,1635,13,8.8,28,5245.57
Printer,473,1,4.7,25,55.97
LED Light,150,15,10.5,30,710.18
Projector,279,6,2.7,29,132.06
LED Light,845,6,9.1,13,598.89
Fridge,1193,1,3.1,22,82.34
Heater,184,8,7.5,24,263.93
Water Cooler,1649,9,10.3,14,2134.82
LED Light,425,12,8.2,21,874.71
LED Light,977,20,2.8,28,1558.06
Lab Equipment,1084,20,9.7,27,5664.41
LED Light,1901,14,4,27,2857.72
AC (1.5 Ton),470,5,6.5,21,322.88
Water Cooler,890,14,9.2,15,1724.8
WiFi Router,380,11,5.2,19,413.27
AC (1.5 Ton),252,20,5.7,16,462.63
Computer,531,18,8.5,30,2443.52
Projector,398,18,8.6,24,1471.97
Tube Light,352,20,1.4,19,192.1
Water Cooler,1366,16,10.1,18,3956.65
WiFi Router,1467,1,6.1,25,223.75
WiFi Router,450,18,9.4,25,1900.05
Smartboard,80,19,10.4,30,474.88
Lab Equipment,1045,6,3.5,13,282.93
Ceiling Fan,299,6,1.5,17,46.35
Tube Light,45,4,5.3,23,21.83
Heater,1647,5,1.7,22,307.59
AC (1.5 Ton),1116,15,2.6,20,856.6
Heater,248,3,10.1,17,127.49
Heater,1490,14,9.7,30,6095.92
Water Cooler,1571,19,6.3,26,4867.05
AC (1.5 Ton),833,8,2.8,14,262.68
Smartboard,1620,16,10.6,21,5744.4
Tube Light,1260,13,2.9,30,1431.71
Tube Light,10,5,4.8,17,4.07
Projector,1408,8,2.5,23,650.4
WiFi Router,995,20,5.9,28,3304.85
Smartboard,1310,9,3.1,12,440.6
Tube Light,1081,15,6,29,2801.16
Printer,875,18,7.5,29,3403.05
Heater,1210,5,7.2,23,1000.41
Fridge,947,3,1.7,28,136.06
Heater,698,1,6.1,30,128.64
Lab Equipment,809,20,6.1,24,2371.95
AC (1.5 Ton),1346,16,10.4,16,3596.07
Lab Equipment,1651,12,11.4,28,6340.27
Ceiling Fan,98,6,11.9,15,105.18
WiFi Router,1669,13,8.8,15,2878.46
Ceiling Fan,1502,12,11,24,4756.07
Projector,495,13,9.8,29,1830.78
Smartboard,1919,10,8.6,25,4122.9
WiFi Router,1706,9,5.8,26,2296.39
Heater,1893,14,11.6,25,7661
Printer,640,4,2.2,29,161.71
Printer,101,19,7,29,386.9
WiFi Router,295,9,1.4,12,44.7
Projector,390,6,4.9,28,323.36
Fridge,1048,13,5.4,10,730.6
Projector,1055,17,9.9,14,2485.94
Projector,658,10,10.1,28,1866.69
LED Light,161,2,5.2,22,36.9
Smartboard,314,5,4.1,24,155.77
Computer,691,9,9.2,19,1085.19
Heater,480,6,6.8,16,312.54
Printer,62,3,10.6,14,27.52
AC (1.5 Ton),1426,13,6.4,13,1530.68
Fridge,671,16,11.2,26,3115.21
Heater,765,1,11,15,125.85
Water Cooler,607,9,1.5,30,244.6
WiFi Router,1361,8,11.8,29,3711.51
Ceiling Fan,468,12,3.4,25,474.39
Tube Light,1970,7,1.8,17,431.6
Projector,607,11,10.2,17,1155.54
Computer,1342,16,2.7,19,1091.57
Heater,58,12,11.7,12,97.99
LED Light,1738,16,2.9,10,812.9
Ceiling Fan,1028,5,11,17,957.51
Lab Equipment,1047,14,2.1,14,435.86
Heater,108,7,11.1,20,168.46
WiFi Router,898,20,8.1,29,4208.24
LED Light,1019,8,1.9,26,392.14
Computer,119,15,11.1,24,474.68
Smartboard,448,4,7.3,19,248.05
Fridge,1146,5,2.9,19,310.94
Printer,1771,20,7.8,16,4418.06
Lab Equipment,516,8,2.5,26,268.88
Computer,1829,5,6.2,14,789.86
Fridge,1915,19,7.2,11,2888.82
Computer,156,13,8.8,19,340.81
LED Light,1713,18,12,15,5545.54
Computer,380,7,9.3,11,270.91
Fridge,1099,8,10.6,17,1583.14
Printer,365,9,8,15,393.19
Tube Light,153,18,7.4,25,509.11
Ceiling Fan,1602,14,10.5,29,6840.74
Computer,1637,16,5.4,29,4086.31
WiFi Router,1166,13,1.6,10,246.35
LED Light,80,9,3.8,14,38.25
Heater,318,16,6.4,14,458.58
Lab Equipment,76,9,7.5,10,51.54
Ceiling Fan,1953,11,10.4,23,5159.68
Lab Equipment,1597,16,2.5,17,1090.87
Smartboard,1526,3,7.7,29,1019.37
WiFi Router,897,7,1.8,17,189.78
WiFi Router,1257,4,6.7,12,407.14
Water Cooler,1191,11,11.3,16,2372.83
Smartboard,1566,7,4.5,15,731.79
Projector,1352,17,7.2,21,3452.86
Computer,1307,1,2.7,15,52.2
Fridge,892,4,10.1,28,1009.71
Printer,1439,10,8,11,1272.04
AC (1.5 Ton),920,11,10.4,21,2210.16
LED Light,1301,20,11.9,21,6504.44
Smartboard,1601,15,3.4,11,899.23
Tube Light,424,5,2.3,15,71.9
AC (1.5 Ton),78,1,11.2,20,17.46
Computer,156,17,8.3,23,507.16
Computer,1573,16,7.7,26,5020.06
Ceiling Fan,1682,7,1.2,13,187.99
Tube Light,413,9,6.1,11,250.7
Smartboard,1074,20,4.6,28,2790.89
Water Cooler,1611,10,2.7,26,1122.23
Tube Light,765,18,3.1,28,1214.4
Lab Equipment,1239,8,10.8,19,2028.66
AC (1.5 Ton),710,9,10.4,15,993.72
LED Light,940,1,10,22,205.79
LED Light,1408,4,7,23,905.49
Projector,322,19,6.6,10,405.12
Tube Light,676,6,7.2,21,611.63
Computer,487,16,7.3,27,1526.06
WiFi Router,382,6,5.2,27,322.97
LED Light,163,14,5.5,10,126.64
Projector,342,20,10.4,25,1776.45
AC (1.5 Ton),1837,2,7.3,12,321.4
Printer,1871,20,4.6,28,4846.23
Heater,1796,18,9.3,11,3299.87
Projector,1518,5,1.2,11,102.57
Tube Light,256,13,5.8,17,326.32
Smartboard,1337,14,4.5,12,1018.56
Heater,1597,19,4.7,21,2968.64
WiFi Router,621,14,7.7,29,1942.82
Heater,1182,19,11.2,15,3766.14
Ceiling Fan,1245,3,2.5,25,229.2
Tube Light,578,19,11.5,21,2644.06
Projector,401,11,2.1,20,186.7
Lab Equipment,114,7,8.8,21,147.4
Printer,1597,8,10.8,13,1793.26
Smartboard,1731,12,7.3,15,2283.81
Tube Light,634,19,7.6,27,2481.34
Lab Equipment,1171,3,1.6,16,90.99
Fridge,1698,15,5.3,16,2177.22
LED Light,814,11,4.7,10,419.93
Computer,484,10,10.1,15,734.58
Lab Equipment,1073,18,10.5,23,4685.62
Heater,1910,8,8.7,21,2790.72
AC (1.5 Ton),1581,13,11.4,16,3743.1
Lab Equipment,1761,12,1.9,12,486.24
Lab Equipment,832,3,12,11,328.48
LED Light,1145,3,11.2,15,574.71
Fridge,911,13,7.3,12,1031.85
Water Cooler,1160,15,10.2,26,4633.3
Fridge,934,6,9.4,29,1533.58
LED Light,679,6,6.8,25,694.2
Ceiling Fan,1990,3,2.3,28,378.92
Fridge,1932,11,5.6,15,1796.87
Heater,193,10,7.1,23,314.26
Smartboard,1043,3,5.2,22,361.26
Fridge,1987,4,2,23,373.66
Projector,1988,8,3.9,23,1413.54
Fridge,380,15,2.6,29,434.25
Smartboard,635,15,6.6,27,1709.28
Lab Equipment,1560,18,10,18,5030.51
Computer,1842,1,3.9,30,217.56
Water Cooler,1723,11,5.6,27,2842.46
LED Light,1020,8,5.4,21,920.13
Fridge,1100,11,5.7,18,1241.45
Printer,1370,20,4.8,24,3134.92
Ceiling Fan,1671,7,4.6,23,1226.07
Water Cooler,1502,19,7.9,15,3401.79
WiFi Router,1604,11,8.9,28,4400.46
Printer,1290,13,6.9,24,2766.99
Heater,110,10,7.4,27,218.72
Heater,1625,10,3.7,26,1561.25
Ceiling Fan,1350,16,5.5,22,2630.6
AC (1.5 Ton),1671,14,11.2,27,7077.4
Heater,1932,20,3.3,19,2412.63
Computer,910,9,9.1,13,965.15
Tube Light,978,10,9.1,28,2503.37
AC (1.5 Ton),1575,2,1.6,27,139.05
LED Light,1697,4,9.4,11,704.35
Lab Equipment,458,11,2.2,29,316.5
AC (1.5 Ton),177,11,10.2,22,437.77
Ceiling Fan,1520,16,3.5,21,1780.48
Water Cooler,1279,13,11.4,26,4915.66
LED Light,1679,18,2.3,22,1496.32
Smartboard,872,2,2.4,13,55.52
Computer,1082,8,9.3,16,1283.84
Fridge,1425,19,10.1,27,7394.71
Ceiling Fan,564,15,2.4,16,326.92
Projector,309,14,4.5,11,214.64
WiFi Router,1644,12,6.5,24,3056.09
Computer,1854,11,6,16,1953.62
LED Light,608,18,5.8,22,1388.04
Projector,1147,17,10.5,21,4303.58
Printer,969,15,4.7,24,1650.95
AC (1.5 Ton),1977,20,8.2,13,4229.53
Water Cooler,1509,7,8.9,10,937.13
Smartboard,1563,15,9.4,24,5289.93
Heater,883,15,2.3,20,607.64
Ceiling Fan,508,13,9.9,21,1370.35
AC (1.5 Ton),372,17,11.1,24,1677.86
AC (1.5 Ton),357,18,10.8,21,1461.81
Smartboard,469,1,10,24,112.37
Tube Light,938,5,4.5,12,251.59
Lab Equipment,993,16,6.9,23,2533.71
Ceiling Fan,885,19,8.3,24,3357.15
Ceiling Fan,1927,16,9.5,14,4104.82
Ceiling Fan,1944,9,9.4,27,4434.48
Tube Light,62,3,8.4,27,41.99
WiFi Router,1112,16,4.1,25,1845.55
Projector,308,5,10.7,25,412.28
LED Light,1577,6,7.6,21,1517.1
Projector,1521,15,7,28,4448.59
WiFi Router,96,7,1.3,14,12.47
Fridge,1388,15,8.9,24,4447.79
Printer,522,1,6.4,28,93.89
Ceiling Fan,1377,8,3.6,12,476.42
Water Cooler,618,3,9.1,30,506.85
Printer,703,20,1.2,26,445.01
Tube Light,779,10,1.6,15,192.37
Water Cooler,1001,13,8.8,14,1603.25
Printer,1985,18,3.3,12,1406.41
Printer,1219,19,3.7,19,1621.37
Printer,107,9,10.6,26,266.1
Projector,431,12,9.2,29,1375.95
Lab Equipment,1617,1,11.1,18,323.2
Lab Equipment,1362,14,7.8,17,2527.37
Computer,1586,19,10,12,3604.17
Ceiling Fan,1427,9,8.3,28,2978.81
Projector,1959,2,10.9,16,680.55
Fridge,245,11,3.6,28,269.3
Printer,322,16,7.3,26,980.23
Lab Equipment,792,20,9.1,26,3765.48
Heater,1127,8,2.9,14,364.25
Lab Equipment,1666,1,1.4,18,42.66
Water Cooler,1507,13,4.7,21,1927.4
Tube Light,1176,17,3,18,1065.94
Fridge,203,20,11.5,16,743.9
WiFi Router,809,13,2.7,21,599.38
Smartboard,345,13,5.7,17,431.82
Ceiling Fan,1324,3,10,19,754.78
Computer,1113,7,4.8,16,598.19
Projector,1958,1,2.6,27,135.36
Ceiling Fan,1651,3,11.8,30,1746.9
Water Cooler,1961,9,4.3,28,2114.48
LED Light,990,3,3.2,15,141.44
Computer,473,16,4.2,30,959.47
Fridge,1239,3,9.7,23,825.12
Fridge,301,11,10.3,14,479.03
LED Light,1838,9,9.4,11,1711.6
Lab Equipment,69,16,1.4,16,23.97
Ceiling Fan,750,7,12,15,943.94
Fridge,770,14,8.1,29,2517.21
Tube Light,281,5,9,28,354.77
Lab Equipment,1364,4,7.9,29,1256.32
Printer,818,1,4.3,26,91.21
Computer,906,13,6.9,18,1452.47
Projector,1644,7,5.8,26,1725.36
Lab Equipment,907,3,3.3,27,242.62
Tube Light,1280,12,9.1,23,3204.79
Smartboard,42,19,10.2,25,203.85
Printer,676,7,4,28,534.18
Smartboard,1690,10,10.2,25,4330.24
LED Light,749,19,10.7,11,1674.09
Water Cooler,882,3,3.5,13,121.23
AC (1.5 Ton),143,11,1.4,27,58.34
AC (1.5 Ton),1290,19,1.6,21,797.95
Smartboard,270,2,6.4,15,51.84
Fridge,920,7,6.5,12,498.7
Computer,549,13,4.7,18,609.32
LED Light,1499,13,4.3,12,1002.42
Lab Equipment,104,2,1.2,27,6.84
AC (1.5 Ton),1319,4,3.6,10,188.37
Heater,988,15,6.7,12,1197.06
Heater,832,4,9.4,22,688.68
Tube Light,1505,19,1.4,26,1005.98
Projector,288,8,4.1,18,169.78
AC (1.5 Ton),1166,15,12,10,2093.5
LED Light,325,14,9,18,733.72
AC (1.5 Ton),132,17,2.1,26,124.11
Water Cooler,309,20,10.9,28,1878.77
Computer,1757,12,9.3,23,4490.68
WiFi Router,1353,2,7.7,26,538.43
Water Cooler,1026,4,9.8,12,480.32
Printer,858,5,5.4,29,671.22
Smartboard,877,2,8.9,16,248.46
Printer,992,9,3.2,10,284.65
Smartboard,572,16,2.1,18,339.19
Projector,1510,18,11.8,21,6709.81
Water Cooler,142,13,11.8,30,651.6
WiFi Router,93,2,2.6,12,5.74
Lab Equipment,1507,14,1.2,11,287.16
WiFi Router,1411,2,2.3,12,78.51
LED Light,1755,15,10.3,11,2985.72
WiFi Router,1899,7,4.8,16,1016.66
Smartboard,567,15,7.5,25,1590.99
Tube Light,1149,4,9.6,21,924.3
Fridge,1680,20,8,22,5939.58
Computer,572,17,7.5,15,1091.09
Smartboard,1347,15,10.5,25,5303.76
LED Light,1251,6,5.9,24,1070.62
Printer,999,5,6.2,16,493.75
Lab Equipment,1542,14,9,11,2129.21
Fridge,88,16,8.5,15,178.73
Printer,1879,20,5.9,16,3528.33
Ceiling Fan,149,10,6.2,18,166.69
Computer,1917,15,9,22,5706.61
Printer,1959,2,4.9,13,248.05
Printer,185,4,1,10,7.66
Projector,1775,17,7.1,15,3213.55
Tube Light,1246,6,6.6,20,994.15
Printer,1276,5,11.2,18,1286.47
Water Cooler,1167,16,4.9,25,2309.76
LED Light,752,13,7.1,23,1595.98
Lab Equipment,1393,8,5.7,24,1525.45
Ceiling Fan,1695,5,9.6,30,2442.75
Computer,1339,6,5.2,22,924.18
Lab Equipment,1850,7,2.9,26,971.17
LED Light,603,10,6.3,21,798.43
Tube Light,702,7,4.4,27,584.52
Ceiling Fan,1998,8,1.3,22,474.05
AC (1.5 Ton),599,3,3.8,15,103.09
Printer,480,12,1.2,25,178.7
Water Cooler,991,6,11.4,22,1496.75
LED Light,13,12,5,30,23.62
AC (1.5 Ton),1785,12,1.4,24,728.44
Computer,560,12,1.8,24,295.02
Water Cooler,1499,17,4.8,23,2825.42
AC (1.5 Ton),1883,7,1.6,13,281
WiFi Router,476,2,4.1,22,84.99
Fridge,62,3,9.3,16,27.82
Computer,1644,5,5.1,11,461.79
Water Cooler,123,3,7.7,23,65.72
WiFi Router,272,2,11.2,25,152.5
Fridge,453,14,2.9,20,363.22
Fridge,709,18,7,26,2327.27
Printer,1224,2,5.3,27,348.68
Projector,1749,11,9.9,18,3422.31
Smartboard,1687,18,4.2,30,3827.68
Water Cooler,122,6,6.1,12,53.61
AC (1.5 Ton),1623,8,7.8,28,2848.01
Tube Light,416,12,10.6,24,1272.94
WiFi Router,254,5,10.8,11,150.28
Heater,1997,3,7.7,23,1059.19
Fridge,1339,17,8.8,25,5034.69
AC (1.5 Ton),1316,11,8,28,3232.95
Tube Light,1110,6,9.8,14,911.14
Ceiling Fan,908,17,1.1,17,299.88
WiFi Router,483,10,8.5,19,782.15
LED Light,901,12,6.8,11,804.55
WiFi Router,1771,3,6.4,27,917.55
Water Cooler,1646,7,5.7,17,1121.85
Fridge,1765,3,2.6,13,177.02
Computer,359,16,1.1,22,144.33
Tube Light,1437,14,9.4,20,3780.65
WiFi Router,1918,2,5.8,12,266.89
Printer,552,3,11.2,17,314.43
Heater,911,14,3.9,25,1244.7
AC (1.5 Ton),1203,14,7.7,20,2589.85
AC (1.5 Ton),765,16,5.3,14,899.92
Smartboard,1491,9,4.2,21,1196.88
LED Light,204,17,5.5,25,475.5
Water Cooler,1466,12,10.3,29,5248.34
Printer,569,18,8.4,27,2335.06
Ceiling Fan,645,1,9,14,81.16
LED Light,921,14,4,23,1177.53
Smartboard,1904,14,6.8,24,4372.33
Smartboard,798,9,2.8,29,579.23
Lab Equipment,1008,10,1,22,225.5
Fridge,206,13,10.7,30,856.76
LED Light,678,1,8.1,30,165.42
Fridge,367,11,4.4,20,358.28
LED Light,433,14,8.2,19,947.55
Heater,1633,1,8.2,19,253.15
Fridge,1225,13,3,29,1383.09
AC (1.5 Ton),531,14,11.8,10,878.03
Water Cooler,579,13,5.6,21,878.58
Ceiling Fan,841,8,11.4,22,1685.87
Tube Light,327,19,4.4,13,353.62
AC (1.5 Ton),1962,5,4.9,22,1056.47
Projector,860,8,5.3,29,1058.5
Water Cooler,1454,15,9.5,13,2706.61
AC (1.5 Ton),1622,3,5.1,27,673.03
Fridge,705,19,3.3,30,1334.25
Lab Equipment,603,11,3.3,16,347.99
AC (1.5 Ton),96,18,3.1,27,143.55
AC (1.5 Ton),841,4,5.8,13,252.94
LED Light,807,11,3.3,28,827.42
WiFi Router,564,2,4.7,16,85.27
Printer,700,3,3.5,15,108.91
Printer,170,9,3.3,28,143.1
Tube Light,1135,13,4.7,15,1036.41
Water Cooler,1587,16,9.1,10,2298.4
Water Cooler,801,1,1.9,15,22.32
Water Cooler,760,18,1.2,22,361.93
AC (1.5 Ton),1583,14,7.6,29,4858.2
Heater,1194,10,2.1,28,713.83
WiFi Router,1551,15,10,16,3725.36
Heater,76,14,5.6,23,136.91
Fridge,1445,1,5.9,28,237.86
AC (1.5 Ton),1851,8,5,15,1116.45
Ceiling Fan,1531,7,6.2,16,1066.08
Tube Light,95,15,6.2,27,238.63
WiFi Router,906,1,8.9,27,217.27
LED Light,1144,12,1.4,12,228.45
Fridge,364,17,8.2,16,814.91
Ceiling Fan,201,4,5.3,25,105.64
Smartboard,1141,17,7.8,21,3161.57
Tube Light,543,7,8.5,23,742.62
LED Light,1724,3,6.1,18,572.21
Printer,1104,17,6.5,18,2201.08
Tube Light,986,19,5.1,30,2842.98
WiFi Router,1875,18,6.9,23,5390.9
Heater,1774,8,10.9,29,4485.94
Computer,686,16,1.8,14,278.69
AC (1.5 Ton),351,2,7.9,23,127.11
Projector,1219,2,10.8,27,712.17
Ceiling Fan,248,13,9.9,12,382.3
Projector,1086,9,6.3,20,1230.19
LED Light,945,11,3.6,21,779.38
Lab Equipment,1630,12,3.3,17,1093.23
LED Light,680,13,2.1,16,303.22
Printer,212,19,3.1,23,288.11
Tube Light,1091,12,11.5,13,1956.79
Printer,32,12,3,18,20.81
Ceiling Fan,613,1,1.6,23,22.92
Smartboard,1246,1,4.7,22,128.35
Water Cooler,1554,12,11.4,24,5118.92
Lab Equipment,758,10,6.2,19,897.73
Projector,879,7,1.5,20,185.3
Water Cooler,658,10,4.7,16,497.75
Ceiling Fan,1200,10,3,26,930.52
WiFi Router,1032,1,3.6,20,74.2
Computer,890,18,5.6,14,1250.91
Projector,539,10,11.7,23,1448.73
LED Light,147,11,6,22,213.17
Fridge,98,15,7.8,16,182.87
LED Light,399,19,8.6,24,1567.7
Computer,744,14,3.3,10,340.21
Computer,995,3,2.3,28,194.36
Projector,1424,3,1.2,21,103.62
Printer,1827,1,2.1,19,72.21
Fridge,28,4,6.5,30,21.68
Smartboard,1805,2,5.3,25,478.37
AC (1.5 Ton),1104,16,10.6,23,4295.22
Ceiling Fan,713,15,5.2,20,1118.76
Fridge,949,11,11.9,20,2479.64
Heater,1117,19,1.2,17,439.08
Tube Light,1767,6,8.8,24,2228.51
Ceiling Fan,1317,11,11.2,27,4370.64
Fridge,254,6,4.8,22,162.11
Lab Equipment,1427,17,1.3,24,768.65
LED Light,385,2,8.8,20,134.86
